,name,type,species,period,period_time,continent,lived_in,diet,length,size,taxonomy,link
120,Graciliceratops,Ceratopsian,Mongoliensis,Cretaceous,Late,Asia,Mongolia,Herbivorous,2.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/graciliceratops.html
121,Gryposaurus,Euornithopod,Notabilis,Cretaceous,Late,North America,United States,Herbivorous,10.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/gryposaurus.html
122,Guaibasaurus,Small Theropod,Candelariensis,Triassic,Late,South America,Brazil,Herbivorous,1.8,Short,Dinosauria Saurischia Theropoda,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
123,Guanlong,Small Theropod,Wucaii,Jurassic,Late,Asia,China,Carnivorous,3.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/guanlong.html
124,Hadrosaurus,Euornithopod,Foulkii,Cretaceous,Late,North America,United States,Herbivorous,9.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/hadrosaurus.html
125,Haplocanthosaurus,Sauropod,Priscus,Jurassic,Late,North America,United States,Herbivorous,21.5,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html
126,Harpymimus,Small Theropod,Okladnikovi,Cretaceous,Early,Asia,Mongolia,Omnivorous,2.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,https://www.nhm.ac.uk/discover/dino-directory/harpymimus.html
127,Herrerasaurus,Small Theropod,Ischigualastensis,Triassic,Late,South America,Argentina,Carnivorous,3.0,Medium,Dinosauria Saurischia Theropoda Herrerasauridae,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
128,Hesperosaurus,Armoured Dinosaur,Mjosi,Jurassic,Late,North America,United States,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
129,Heterodontosaurus,Euornithopod,Tucki,Jurassic,Early,Africa,South Africa,Herbivorous,1.2,Short,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/heterodontosaurus.html
