,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
161,lurdusaurus,euornithopod,arenatus,Cretaceous,Early,Africa,Niger,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html
162,lycorhinus,euornithopod,angustidens,Triassic,Late,Africa,South Africa,herbivorous,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
163,magyarosaurus,sauropod,dacus,Cretaceous,Late,Europe,Romania,herbivorous,5.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html
164,maiasaura,euornithopod,peeblesorum,Cretaceous,Late,North America,United States,herbivorous,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html
165,majungasaurus,large theropod,atopus,Cretaceous,Late,Africa,Madagascar,carnivorous,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html
166,malawisaurus,sauropod,dixeyi,Cretaceous,Early,Africa,Malawi,herbivorous,9.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html
167,mamenchisaurus,sauropod,constructus,Jurassic,Late,Asia,China,herbivorous,22.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
168,mapusaurus,large theropod,roseae,Cretaceous,Late,South America,Argentina,carnivorous,13.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
169,marshosaurus,large theropod,bicentesimus,Jurassic,Late,North America,United States,carnivorous,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
170,masiakasaurus,small theropod,knopfleri,Cretaceous,Late,Africa,Madagascar,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html
171,massospondylus,sauropod,carinatus,Jurassic,Early,Africa,Zimbabwe,omnivorous,4.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html
172,maxakalisaurus,sauropod,topai,Cretaceous,Late,South America,Brazil,herbivorous,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
173,megalosaurus,large theropod,bucklandii,Jurassic,Mid,Europe,United Kingdom,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html
174,melanorosaurus,sauropod,readi,Triassic,Late,Africa,South Africa,omnivorous,12.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
175,metriacanthosaurus,large theropod,parkeri,Jurassic,Late,Europe,United Kingdom,carnivorous,8.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html
176,microceratus,ceratopsian,gobiensis,Cretaceous,Late,Asia,Mongolia,herbivorous,0.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html
177,micropachycephalosaurus,ceratopsian,hongtuyanensis,Cretaceous,Late,Asia,China,herbivorous,0.6m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
178,microraptor,small theropod,zhaoianus,Cretaceous,Early,Asia,China,carnivorous,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
179,minmi,armoured dinosaur,paravertebra,Cretaceous,Early,Oceania,Australia,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
180,monolophosaurus,large theropod,jiangi,Jurassic,Mid,Asia,China,carnivorous,5.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html
181,mononykus,small theropod,olecranus,Cretaceous,Late,Asia,Mongolia,unknown,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html
182,mussaurus,sauropod,patagonicus,Triassic,Late,South America,Argentina,herbivorous,3.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
183,muttaburrasaurus,euornithopod,langdoni,Cretaceous,Early,Oceania,Australia,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
184,nanshiungosaurus,large theropod,brevispinus,Cretaceous,Late,Asia,China,omnivorous,4.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
185,nedoceratops,ceratopsian,hatcheri,Cretaceous,Late,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html
186,nemegtosaurus,sauropod,mongoliensis,Cretaceous,Late,Asia,Mongolia,herbivorous,13.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html
187,neovenator,large theropod,salerii,Cretaceous,Early,Europe,United Kingdom,carnivorous,7.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html
188,neuquenosaurus,sauropod,australis,Cretaceous,Late,South America,Argentina,herbivorous,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html
189,nigersaurus,sauropod,taqueti,Cretaceous,Early,Africa,Tunisia,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html
190,nipponosaurus,euornithopod,sachalinensis,Cretaceous,Late,Asia,Russia,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html
191,noasaurus,small theropod,leali,Cretaceous,Late,South America,Argentina,carnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html
192,nodosaurus,armoured dinosaur,textilis,Cretaceous,Early,North America,United States,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html
