,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
0,aardonyx,sauropod,celestae,Jurassic,Early,Africa,South Africa,herbivorous,8.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
1,abelisaurus,large theropod,comahuensis,Cretaceous,Late,South America,Argentina,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
2,achelousaurus,ceratopsian,horneri,Cretaceous,Late,North America,United States,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
3,achillobator,large theropod,giganteus,Cretaceous,Late,Asia,Mongolia,carnivorous,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
4,acrocanthosaurus,large theropod,atokensis,Cretaceous,Early,North America,United States,carnivorous,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html
5,aegyptosaurus,sauropod,baharijensis,Cretaceous,Late,Africa,Egypt,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
6,afrovenator,large theropod,abakensis,Cretaceous,Early,Africa,Niger,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
7,agilisaurus,euornithopod,louderbacki,Jurassic,Late,Asia,China,herbivorous,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
8,alamosaurus,sauropod,sanjuanensis,Cretaceous,Late,North America,United States,herbivorous,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
9,albertaceratops,ceratopsian,nesmoi,Cretaceous,Late,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
10,albertosaurus,large theropod,libratus,Cretaceous,Late,North America,Canada,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
11,alectrosaurus,large theropod,olseni,Cretaceous,Late,Asia,Mongolia,carnivorous,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html
12,alioramus,large theropod,remotus,Cretaceous,Late,Asia,Mongolia,carnivorous,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html
13,allosaurus,large theropod,fragilis,Jurassic,Late,North America,United States,carnivorous,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html
14,alvarezsaurus,small theropod,calvoi,Cretaceous,Late,South America,Argentina,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html
15,amargasaurus,sauropod,cazaui,Cretaceous,Early,South America,Argentina,herbivorous,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html
16,ammosaurus,sauropod,major,Jurassic,Early,North America,United States,herbivorous,5.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html
17,ampelosaurus,sauropod,atacis,Cretaceous,Late,Europe,France,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html
18,amygdalodon,sauropod,patagonicus,Jurassic,Mid,South America,Argentina,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html
19,anchiceratops,ceratopsian,ornatus,Cretaceous,Late,North America,Canada,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html
20,anchisaurus,sauropod,polyzelous,Jurassic,Early,North America,United States,herbivorous,2.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html
21,ankylosaurus,armoured dinosaur,magniventris,Cretaceous,Late,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html
22,anserimimus,large theropod,planinychus,Cretaceous,Late,Asia,Mongolia,carnivorous,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html
23,antarctosaurus,sauropod,wichmannianus,Cretaceous,Late,South America,Uruguay,herbivorous,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/antarctosaurus.html
24,apatosaurus,sauropod,ajax,Jurassic,Late,North America,United States,herbivorous,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html
25,aragosaurus,sauropod,ischiadicus,Cretaceous,Early,Europe,Spain,herbivorous,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,https://www.nhm.ac.uk/discover/dino-directory/aragosaurus.html
26,aralosaurus,euornithopod,tuberiferus,Cretaceous,Late,Asia,Kazakhstan,herbivorous,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/aralosaurus.html
27,archaeoceratops,ceratopsian,oshimai,Cretaceous,Early,Asia,China,herbivorous,1.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html
28,archaeopteryx,small theropod,lithographica,Jurassic,Late,Europe,Germany,carnivorous,0.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,https://www.nhm.ac.uk/discover/dino-directory/archaeopteryx.html
29,archaeornithomimus,small theropod,asiaticus,Cretaceous,Late,Asia,Uzbekistan,carnivorous,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/archaeornithomimus.html
30,argentinosaurus,sauropod,huinculensis,Cretaceous,Late,South America,Argentina,herbivorous,35.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html
31,arrhinoceratops,ceratopsian,brachyops,Cretaceous,Late,North America,Canada,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html
32,atlascopcosaurus,euornithopod,loadsi,Cretaceous,Early,Oceania,Australia,herbivorous,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html
33,aucasaurus,large theropod,garridoi,Cretaceous,Late,South America,Argentina,carnivorous,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html
34,austrosaurus,sauropod,mckillopi,Cretaceous,Early,Oceania,Australia,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html
35,avaceratops,ceratopsian,lammersi,Cretaceous,Late,North America,United States,herbivorous,2.3m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/avaceratops.html
36,avimimus,small theropod,portentosus,Cretaceous,Late,Asia,Mongolia,omnivorous,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,https://www.nhm.ac.uk/discover/dino-directory/avimimus.html
37,bactrosaurus,euornithopod,johnsoni,Cretaceous,Late,Asia,China,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html
38,bagaceratops,ceratopsian,rozhdestvenskyi,Cretaceous,Late,Asia,Mongolia,herbivorous,1.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html
39,bambiraptor,small theropod,feinbergorum,Cretaceous,Late,North America,United States,carnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/bambiraptor.html
40,barapasaurus,sauropod,tagorei,Jurassic,Early,Asia,India,herbivorous,14.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,https://www.nhm.ac.uk/discover/dino-directory/barapasaurus.html
41,barosaurus,sauropod,lentus,Jurassic,Late,North America,United States,herbivorous,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html
42,baryonyx,large theropod,walkeri,Cretaceous,Early,Europe,United Kingdom,carnivorous,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,https://www.nhm.ac.uk/discover/dino-directory/baryonyx.html
43,becklespinax,large theropod,altispinax,Cretaceous,Early,Europe,United Kingdom,carnivorous,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,https://www.nhm.ac.uk/discover/dino-directory/becklespinax.html
44,beipiaosaurus,small theropod,inexpectus,Cretaceous,Early,Asia,China,omnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html
45,bellusaurus,sauropod,sui,Jurassic,Mid,Asia,China,herbivorous,5.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,https://www.nhm.ac.uk/discover/dino-directory/bellusaurus.html
46,borogovia,small theropod,gracilicrus,Cretaceous,Late,Asia,Mongolia,carnivorous,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,https://www.nhm.ac.uk/discover/dino-directory/borogovia.html
47,brachiosaurus,sauropod,altithorax,Jurassic,Late,North America,United States,herbivorous,30.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html
48,brachylophosaurus,euornithopod,canadensis,Cretaceous,Late,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/brachylophosaurus.html
49,brachytrachelopan,sauropod,mesai,Jurassic,Mid,South America,Argentina,herbivorous,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html
50,buitreraptor,small theropod,gonzalezorum,Cretaceous,Late,South America,Argentina,carnivorous,1.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html
51,camarasaurus,sauropod,supremus,Jurassic,Late,North America,United States,herbivorous,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html
52,camptosaurus,euornithopod,dispar,Jurassic,Late,North America,United States,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia,https://www.nhm.ac.uk/discover/dino-directory/camptosaurus.html
53,carcharodontosaurus,large theropod,saharicus,Cretaceous,Late,Africa,North Africa,carnivorous,15.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/carcharodontosaurus.html
54,carnotaurus,large theropod,sastrei,Cretaceous,Late,South America,Argentina,carnivorous,7.6m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html
55,caudipteryx,small theropod,zoui,Cretaceous,Early,Asia,China,omnivorous,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html
56,cedarpelta,armoured dinosaur,bilbeyhallorum,Cretaceous,Early,North America,United States,herbivorous,10.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html
57,centrosaurus,ceratopsian,,Cretaceous,Late,North America,Canada,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html
58,ceratosaurus,large theropod,nasicornis,Jurassic,Late,North America,United States,carnivorous,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html
59,cetiosauriscus,sauropod,stewarti,Jurassic,Mid,Europe,United Kingdom,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html
60,cetiosaurus,sauropod,oxoniensis,Jurassic,Mid,Europe,United Kingdom,herbivorous,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html
61,chaoyangsaurus,ceratopsian,youngi,Jurassic,Late,Asia,China,herbivorous,1.1m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html
62,chasmosaurus,ceratopsian,,Cretaceous,Late,North America,Canada,herbivorous,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html
63,chindesaurus,small theropod,bryansmalli,Triassic,Late,North America,United States,carnivorous,4.0m,Dinosauria Saurischia Theropoda Herrerasauridae,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html
64,chinshakiangosaurus,sauropod,zhongheensis,Jurassic,Late,Asia,China,herbivorous,11.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html
65,chirostenotes,small theropod,pergracilis,Jurassic,Late,North America,Canada,omnivorous,1.7m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html
66,chubutisaurus,sauropod,insignis,Cretaceous,Early,South America,Argentina,herbivorous,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html
67,chungkingosaurus,armoured dinosaur,jiangbeiensis,Jurassic,Late,Asia,China,herbivorous,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html
68,citipati,small theropod,osmolskae,Cretaceous,Late,Asia,Mongolia,omnivorous,2.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html
69,coelophysis,small theropod,,Triassic,Late,Africa,Zimbabwe,carnivorous,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html
70,coelurus,small theropod,fragilis,Jurassic,Late,North America,United States,carnivorous,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html
71,coloradisaurus,sauropod,brevis,Triassic,Late,South America,Argentina,omnivorous,4.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html
72,compsognathus,small theropod,longipes,Jurassic,Late,Europe,Germany,carnivorous,0.65m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html
73,conchoraptor,small theropod,gracilis,Cretaceous,Late,Asia,Mongolia,carnivorous,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html
74,confuciusornis,small theropod,sanctus,Cretaceous,Early,Asia,China,carnivorous,0.25m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html
75,corythosaurus,euornithopod,casuarius,Cretaceous,Late,North America,United States,herbivorous,10.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html
76,cryolophosaurus,large theropod,elliotti,Jurassic,Early,Antarctica,Antarctica,carnivorous,8.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html
77,dacentrurus,armoured dinosaur,armatus,Jurassic,Late,Europe,United Kingdom,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html
78,daspletosaurus,large theropod,torosus,Cretaceous,Late,North America,Canada,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html
79,datousaurus,sauropod,bashanensis,Jurassic,Mid,Asia,China,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,https://www.nhm.ac.uk/discover/dino-directory/datousaurus.html
80,deinocheirus,large theropod,mirificus,Cretaceous,Late,Asia,Mongolia,omnivorous,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html
81,deinonychus,small theropod,antirrhopus,Cretaceous,Early,North America,United States,carnivorous,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html
82,deltadromeus,large theropod,agilis,Cretaceous,Late,Africa,Morocco,carnivorous,8.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html
83,dicraeosaurus,sauropod,hansemanni,Jurassic,Late,Africa,Tanzania,herbivorous,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html
84,dilophosaurus,large theropod,,Jurassic,Early,North America,United States,carnivorous,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html
85,diplodocus,sauropod,longus,Jurassic,Late,North America,United States,herbivorous,26.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html
86,dromaeosaurus,small theropod,albertensis,Cretaceous,Late,North America,United States,carnivorous,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html
87,dromiceiomimus,large theropod,brevitertius,Cretaceous,Late,North America,Canada,omnivorous,3.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html
88,dryosaurus,euornithopod,altus,Jurassic,Late,North America,United States,herbivorous,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html
89,dryptosaurus,large theropod,aquilunguis,Cretaceous,Late,North America,United States,carnivorous,6.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html
90,dubreuillosaurus,large theropod,valesdunensis,Jurassic,Late,Europe,France,carnivorous,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html
91,edmontonia,armoured dinosaur,longiceps,Cretaceous,Late,North America,Canada,herbivorous,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
92,edmontosaurus,euornithopod,regalis,Cretaceous,Late,North America,Canada,herbivorous,13.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
93,einiosaurus,ceratopsian,procurvicornis,Cretaceous,Late,North America,United States,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html
94,elaphrosaurus,large theropod,bambergi,Jurassic,Late,Africa,Tanzania,carnivorous,6.2m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html
95,emausaurus,armoured dinosaur,ernsti,Jurassic,Mid,Europe,Germany,herbivorous,2.0m,Dinosauria Ornithischia Genasauria Thyreophora,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html
96,eolambia,euornithopod,caroljonesa,Cretaceous,Late,North America,United States,herbivorous,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html
